domain,method,rows_present
apkpure,aca_apa,100
apkpure,all_anchors,100
apkpure,selenium,71
apkpure,static_html,0
asos,aca_apa,100
asos,all_anchors,100
asos,selenium,72
asos,static_html,0
autotrader,aca_apa,100
autotrader,all_anchors,100
autotrader,selenium,11
autotrader,static_html,0
bestbuy,aca_apa,64
bestbuy,all_anchors,3
bestbuy,selenium,0
bestbuy,static_html,0
books,aca_apa,40
books,all_anchors,73
books,selenium,20
books,static_html,0
cars,aca_apa,88
cars,all_anchors,94
cars,selenium,23
cars,static_html,0
decathlon,aca_apa,72
decathlon,all_anchors,100
decathlon,selenium,9
decathlon,static_html,100
ebay,aca_apa,100
ebay,all_anchors,100
ebay,selenium,61
ebay,static_html,0
etsy,aca_apa,100
etsy,all_anchors,100
etsy,selenium,64
etsy,static_html,0
eventbrite,aca_apa,49
eventbrite,all_anchors,100
eventbrite,selenium,28
eventbrite,static_html,28
farfetch,aca_apa,100
farfetch,all_anchors,79
farfetch,selenium,0
farfetch,static_html,0
hm,aca_apa,100
hm,all_anchors,100
hm,selenium,36
hm,static_html,0
ikea,aca_apa,39
ikea,all_anchors,100
ikea,selenium,39
ikea,static_html,0
newegg,aca_apa,100
newegg,all_anchors,100
newegg,selenium,100
newegg,static_html,100
rightmove,aca_apa,100
rightmove,all_anchors,100
rightmove,selenium,25
rightmove,static_html,25
songkick,aca_apa,100
songkick,all_anchors,100
songkick,selenium,100
songkick,static_html,100
target,aca_apa,97
target,all_anchors,100
target,selenium,86
target,static_html,0
tourradar,aca_apa,100
tourradar,all_anchors,100
tourradar,selenium,29
tourradar,static_html,29
walmart,aca_apa,85
walmart,all_anchors,100
walmart,selenium,97
walmart,static_html,0
webscraperdemo,aca_apa,100
webscraperdemo,all_anchors,100
webscraperdemo,selenium,100
webscraperdemo,static_html,100
