domain,method,n,tp,fp,precision
apkpure,aca_apa,100,83,17,0.830
apkpure,all_anchors,100,39,61,0.390
apkpure,selenium,71,71,0,1.000
apkpure,static_html,0,0,0,0.000
autotrader,aca_apa,100,93,7,0.930
autotrader,all_anchors,100,11,89,0.110
autotrader,selenium,11,11,0,1.000
autotrader,static_html,0,0,0,0.000
books,aca_apa,40,40,0,1.000
books,all_anchors,73,71,2,0.973
books,selenium,20,20,0,1.000
books,static_html,73,0,73,0.000
ebay,aca_apa,100,87,13,0.870
ebay,all_anchors,100,0,100,0.000
ebay,selenium,66,66,0,1.000
ebay,static_html,0,0,0,0.000
etsy,aca_apa,100,100,0,1.000
etsy,all_anchors,100,5,95,0.050
etsy,selenium,64,64,0,1.000
etsy,static_html,0,0,0,0.000
farfetch,aca_apa,100,100,0,1.000
farfetch,all_anchors,79,12,67,0.152
farfetch,selenium,0,0,0,0.000
farfetch,static_html,0,0,0,0.000
newegg,aca_apa,100,100,0,1.000
newegg,all_anchors,100,0,100,0.000
newegg,selenium,100,82,18,0.820
newegg,static_html,100,37,63,0.370
rightmove,aca_apa,100,100,0,1.000
rightmove,all_anchors,100,19,81,0.190
rightmove,selenium,25,25,0,1.000
rightmove,static_html,100,19,81,0.190
songkick,aca_apa,100,96,4,0.960
songkick,all_anchors,100,21,79,0.210
songkick,selenium,100,100,0,1.000
songkick,static_html,100,20,80,0.200
tourradar,aca_apa,100,100,0,1.000
tourradar,all_anchors,100,0,100,0.000
tourradar,selenium,29,29,0,1.000
tourradar,static_html,100,0,100,0.000
