method,run_id,started_at_iso,finished_at_iso,domain,url_id,url,http_status,status,elapsed_sec,timeout,timeout_sec,retries,size_bytes,notes
beautifulsoup,2025-08-26T10-55-49Z,2025-08-26T10:55:49.022647+00:00,2025-08-26T10:55:49.022647+00:00,,1,Link,0,error:MissingSchema,0,0,300,0,0,
beautifulsoup,2025-08-26T10-55-49Z,2025-08-26T10:55:53.827021+00:00,2025-08-26T10:55:53.893062+00:00,www.farfetch.com,2,https://www.farfetch.com/vn/shopping/women/jacquemus-le-bambino-long-shoulder-bag-item-17756159.aspx?storeid=9183,403,http_403,0.08,0,300,0,0,
beautifulsoup,2025-08-26T10-55-49Z,2025-08-26T10:55:56.533324+00:00,2025-08-26T10:55:56.589724+00:00,www.farfetch.com,3,https://www.farfetch.com/vn/shopping/women/salomon-xt-6-sneakers-item-24318535.aspx?storeid=9158,403,http_403,0.05,0,300,0,0,
beautifulsoup,2025-08-26T10-55-49Z,2025-08-26T10:56:00.890374+00:00,2025-08-26T10:56:00.938886+00:00,www.farfetch.com,4,https://www.farfetch.com/vn/shopping/women/self-portrait-satin-flower-embellished-mini-dress-item-29302372.aspx?storeid=11935,403,http_403,0.06,0,300,0,0,
beautifulsoup,2025-08-26T10-55-49Z,2025-08-26T10:56:04.982953+00:00,2025-08-26T10:56:05.005466+00:00,www.farfetch.com,5,https://www.farfetch.com/vn/shopping/women/ami-paris-ami-de-coeur-corduroy-cap-item-20250189.aspx?storeid=9846,403,http_403,0.03,0,300,0,0,
beautifulsoup,2025-08-26T10-55-49Z,2025-08-26T10:56:07.557726+00:00,2025-08-26T10:56:07.576558+00:00,www.farfetch.com,6,https://www.farfetch.com/vn/shopping/women/jacquemus-le-chiquito-long-tote-bag-item-17819103.aspx?storeid=9053,403,http_403,0.02,0,300,0,0,
beautifulsoup,2025-08-26T10-55-49Z,2025-08-26T10:56:10.040495+00:00,2025-08-26T10:56:10.070878+00:00,www.farfetch.com,7,https://www.farfetch.com/vn/shopping/women/solace-london-alba-maxi-dress-item-25612611.aspx?storeid=10222,403,http_403,0.03,0,300,0,0,
beautifulsoup,2025-08-26T10-55-49Z,2025-08-26T10:56:14.799282+00:00,2025-08-26T10:56:14.861190+00:00,www.farfetch.com,8,https://www.farfetch.com/vn/shopping/women/marc-jacobs-the-crystal-denim-sneakers-item-22510295.aspx?storeid=11696,403,http_403,0.06,0,300,0,0,
beautifulsoup,2025-08-26T10-55-49Z,2025-08-26T10:56:18.339512+00:00,2025-08-26T10:56:18.429392+00:00,www.farfetch.com,9,https://www.farfetch.com/vn/shopping/women/rotate-birger-christensen-lace-puff-sleeve-midi-dress-item-27195303.aspx?storeid=10224,403,http_403,0.09,0,300,0,0,
beautifulsoup,2025-08-26T10-55-49Z,2025-08-26T10:56:20.860332+00:00,2025-08-26T10:56:20.968629+00:00,www.farfetch.com,10,https://www.farfetch.com/vn/shopping/women/brigitte-bandeau-bikini-set-item-22699860.aspx?storeid=9196,403,http_403,0.09,0,300,0,0,
beautifulsoup,2025-08-26T10-55-49Z,2025-08-26T10:56:24.454578+00:00,2025-08-26T10:56:24.543139+00:00,www.farfetch.com,11,https://www.farfetch.com/vn/shopping/women/casablanca-monogram-polo-shirt-item-28894894.aspx?storeid=10806,403,http_403,0.08,0,300,0,0,
