method,domain,url,started_at_iso,finished_at_iso,status,elapsed_sec,timeout,timeout_sec
HtmlDownloader,www.farfetch.com,https://www.farfetch.com/vn/shopping/women/jacquemus-le-bambino-long-shoulder-bag-item-17756159.aspx?storeid=9183,2025-08-27T04:25:09.1602900Z,2025-08-27T04:25:15.2319588Z,ok,6.071384,0,30
HtmlDownloader,www.farfetch.com,https://www.farfetch.com/vn/shopping/women/salomon-xt-6-sneakers-item-24318535.aspx?storeid=9158,2025-08-27T04:25:15.2379864Z,2025-08-27T04:25:21.3032962Z,ok,6.0650271,0,30
HtmlDownloader,www.farfetch.com,https://www.farfetch.com/vn/shopping/women/self-portrait-satin-flower-embellished-mini-dress-item-29302372.aspx?storeid=11935,2025-08-27T04:25:21.3202680Z,2025-08-27T04:25:27.3725482Z,ok,6.0531379,0,30
HtmlDownloader,www.farfetch.com,https://www.farfetch.com/vn/shopping/women/ami-paris-ami-de-coeur-corduroy-cap-item-20250189.aspx?storeid=9846,2025-08-27T04:25:27.3785762Z,2025-08-27T04:25:33.3909116Z,ok,6.0121516,0,30
HtmlDownloader,www.farfetch.com,https://www.farfetch.com/vn/shopping/women/jacquemus-le-chiquito-long-tote-bag-item-17819103.aspx?storeid=9053,2025-08-27T04:25:33.4009330Z,2025-08-27T04:25:39.4884932Z,ok,6.0867614,0,30
HtmlDownloader,www.farfetch.com,https://www.farfetch.com/vn/shopping/women/solace-london-alba-maxi-dress-item-25612611.aspx?storeid=10222,2025-08-27T04:25:39.4934941Z,2025-08-27T04:25:45.5613574Z,ok,6.0669926,0,30
HtmlDownloader,www.farfetch.com,https://www.farfetch.com/vn/shopping/women/marc-jacobs-the-crystal-denim-sneakers-item-22510295.aspx?storeid=11696,2025-08-27T04:25:45.5663117Z,2025-08-27T04:25:51.6341995Z,ok,6.0675436,0,30
HtmlDownloader,www.farfetch.com,https://www.farfetch.com/vn/shopping/women/rotate-birger-christensen-lace-puff-sleeve-midi-dress-item-27195303.aspx?storeid=10224,2025-08-27T04:25:51.6391871Z,2025-08-27T04:25:57.7142002Z,ok,6.0747011,0,30
HtmlDownloader,www.farfetch.com,https://www.farfetch.com/vn/shopping/women/brigitte-bandeau-bikini-set-item-22699860.aspx?storeid=9196,2025-08-27T04:25:57.7212383Z,2025-08-27T04:26:03.7979976Z,ok,6.0761416,0,30
HtmlDownloader,www.farfetch.com,https://www.farfetch.com/vn/shopping/women/casablanca-monogram-polo-shirt-item-28894894.aspx?storeid=10806,2025-08-27T04:26:03.8059777Z,2025-08-27T04:26:09.8846050Z,ok,6.0786391,0,30
HtmlDownloader,www.zara.com,https://www.zara.com/us/en/limited-edition-beaded-cord-necklace-p02326800.html,2025-08-27T04:26:09.8905888Z,2025-08-27T04:26:16.3208594Z,ok,6.4312414,0,30
HtmlDownloader,www.zara.com,https://www.zara.com/us/en/striped-limited-edition-bikini-top-p02910221.html,2025-08-27T04:26:16.3278599Z,2025-08-27T04:26:27.1118562Z,ok,10.784171,0,30
HtmlDownloader,www.zara.com,https://www.zara.com/us/en/limited-edition-striped-midi-dress-p03780718.html,2025-08-27T04:26:27.1178571Z,2025-08-27T04:26:48.5993600Z,ok,21.4818268,0,30
HtmlDownloader,www.zara.com,https://www.zara.com/us/en/limited-edition-striped-bikini-bottoms-p02910220.html,2025-08-27T04:26:48.6053201Z,2025-08-27T04:26:55.0654001Z,ok,6.460211,0,30
HtmlDownloader,www.zara.com,https://www.zara.com/us/en/limited-edition-striped-bikini-bottoms-p02910222.html,2025-08-27T04:26:55.0704016Z,2025-08-27T04:27:01.5153206Z,ok,6.4446392,0,30
HtmlDownloader,www.zara.com,https://www.zara.com/us/en/fringe-bikini-bottoms-kate-moss-x-zara-p02856208.html,2025-08-27T04:27:01.5203217Z,2025-08-27T04:27:07.9222573Z,ok,6.4019883,0,30
HtmlDownloader,www.zara.com,https://www.zara.com/us/en/limited-edition-striped-halter-dress-p03828717.html,2025-08-27T04:27:07.9282574Z,2025-08-27T04:27:14.4312361Z,ok,6.503043,0,30
HtmlDownloader,www.zara.com,https://www.zara.com/us/en/striped-swimsuit-limited-edition-p02910212.html,2025-08-27T04:27:14.4362635Z,2025-08-27T04:27:35.8740920Z,ok,21.4382956,0,30
HtmlDownloader,www.zara.com,https://www.zara.com/us/en/limited-edition-striped-belted-dress-p03666716.html,2025-08-27T04:27:35.8801165Z,2025-08-27T04:27:42.3274162Z,ok,6.4478964,0,30
HtmlDownloader,www.zara.com,https://www.zara.com/us/en/contrast-printed-bikini-bottoms-p02856204.html,2025-08-27T04:27:42.3324111Z,2025-08-27T04:27:48.7292604Z,ok,6.3962545,0,30
HtmlDownloader,www2.hm.com,https://www2.hm.com/en_us/productpage.1292677001.html,2025-08-27T04:27:48.7342431Z,2025-08-27T04:27:54.9107998Z,ok,6.1769956,0,30
HtmlDownloader,www2.hm.com,https://www2.hm.com/en_us/productpage.1274174054.html,2025-08-27T04:27:54.9157940Z,2025-08-27T04:28:01.1157597Z,ok,6.2002723,0,30
HtmlDownloader,www2.hm.com,https://www2.hm.com/en_us/productpage.1296219002.html,2025-08-27T04:28:01.1257455Z,2025-08-27T04:28:07.2690423Z,ok,6.1426205,0,30
HtmlDownloader,www2.hm.com,https://www2.hm.com/en_us/productpage.1292586003.html,2025-08-27T04:28:07.2740626Z,2025-08-27T04:28:13.4230533Z,ok,6.1493805,0,30
HtmlDownloader,www2.hm.com,https://www2.hm.com/en_us/productpage.1292589002.html,2025-08-27T04:28:13.4290132Z,2025-08-27T04:28:19.5998711Z,ok,6.1713789,0,30
HtmlDownloader,www2.hm.com,https://www2.hm.com/en_us/productpage.1274174051.html,2025-08-27T04:28:19.6048721Z,2025-08-27T04:28:25.7744988Z,ok,6.1689109,0,30
HtmlDownloader,www2.hm.com,https://www2.hm.com/en_us/productpage.1274174006.html,2025-08-27T04:28:25.7794977Z,2025-08-27T04:28:31.9347571Z,ok,6.1553008,0,30
HtmlDownloader,www2.hm.com,https://www2.hm.com/en_us/productpage.1290433001.html,2025-08-27T04:28:31.9417568Z,2025-08-27T04:28:38.0939994Z,ok,6.1522082,0,30
HtmlDownloader,www2.hm.com,https://www2.hm.com/en_us/productpage.1290992004.html,2025-08-27T04:28:38.0990120Z,2025-08-27T04:28:44.3600048Z,ok,6.2607857,0,30
HtmlDownloader,www2.hm.com,https://www2.hm.com/en_us/productpage.1297263001.html,2025-08-27T04:28:44.3670004Z,2025-08-27T04:28:50.5106463Z,ok,6.1432477,0,30
HtmlDownloader,www.flannels.com,https://www.flannels.com/casablanca-mens-graphic-cotton-larche-tennis-club-t-shirt-528352#colcode=52835201,2025-08-27T04:28:50.5156456Z,2025-08-27T04:28:56.7178661Z,ok,6.2025948,0,30
HtmlDownloader,www.flannels.com,https://www.flannels.com/cp-company-diagonal-raised-fleece-hoodie-533531#colcode=53353130,2025-08-27T04:28:56.7248359Z,2025-08-27T04:29:02.9659851Z,ok,6.2412402,0,30
HtmlDownloader,www.flannels.com,https://www.flannels.com/stone-island-tela-cargo-shorts-478965#colcode=47896503,2025-08-27T04:29:02.9709850Z,2025-08-27T04:29:09.1845798Z,ok,6.2129658,0,30
HtmlDownloader,www.flannels.com,https://www.flannels.com/stone-island-camo-smock-619397#colcode=61939702,2025-08-27T04:29:09.1896158Z,2025-08-27T04:29:15.4216607Z,ok,6.2318027,0,30
HtmlDownloader,www.flannels.com,https://www.flannels.com/boss-boss-c-hanry-252-10271168-01-520004#colcode=52000418,2025-08-27T04:29:15.4306613Z,2025-08-27T04:29:21.6615804Z,ok,6.2312116,0,30
HtmlDownloader,www.flannels.com,https://www.flannels.com/cp-company-zipped-overshirt-607127#colcode=60712784,2025-08-27T04:29:21.6705358Z,2025-08-27T04:29:27.8920799Z,ok,6.2215094,0,30
HtmlDownloader,www.flannels.com,https://www.flannels.com/dsquared2-cool-guy-slim-jeans-644430#colcode=64443040,2025-08-27T04:29:27.8970489Z,2025-08-27T04:29:34.0982478Z,ok,6.2012497,0,30
HtmlDownloader,www.flannels.com,https://www.flannels.com/fear-of-god-essentials-fge-always-on-swtpnt-sn00-488040#colcode=48804003,2025-08-27T04:29:34.1042509Z,2025-08-27T04:29:40.3018762Z,ok,6.1977966,0,30
HtmlDownloader,www.flannels.com,https://www.flannels.com/stone-island-logo-cotton-shorts-474373#colcode=47437302,2025-08-27T04:29:40.3119097Z,2025-08-27T04:29:46.5479313Z,ok,6.2362169,0,30
