method,domain,n_total,n_ok,success_rate_%,timeout_rate_%,median_all_s,IQR_all_s,p95_all_s,median_ok_s,IQR_ok_s,p95_ok_s,mean_all_s,mean_ok_s
beautifulsoup,,1,0,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,0.00,NA
beautifulsoup,apkpure.com,10,0,0.00,0.00,0.20,0.29,0.57,NA,NA,NA,0.32,NA
beautifulsoup,appagg.com,10,0,0.00,90.00,20.02,0.02,20.06,NA,NA,NA,18.10,NA
beautifulsoup,battlegrounds-india.en.aptoide.com,1,1,100.00,0.00,1.42,0.00,1.42,1.42,0.00,1.42,1.42,1.42
beautifulsoup,creative-destruction.en.aptoide.com,1,1,100.00,0.00,1.48,0.00,1.48,1.48,0.00,1.48,1.48,1.48
beautifulsoup,download.cnet.com,10,5,50.00,0.00,0.05,0.01,0.14,0.05,0.01,0.16,0.07,0.08
beautifulsoup,free-fire-max.en.aptoide.com,1,1,100.00,0.00,1.42,0.00,1.42,1.42,0.00,1.42,1.42,1.42
beautifulsoup,freefire-111dots-studio.en.aptoide.com,1,1,100.00,0.00,1.53,0.00,1.53,1.53,0.00,1.53,1.53,1.53
beautifulsoup,last-day-alive.en.aptoide.com,1,1,100.00,0.00,1.50,0.00,1.50,1.50,0.00,1.50,1.50,1.50
beautifulsoup,last-day-on-earth.en.aptoide.com,1,1,100.00,0.00,1.41,0.00,1.41,1.41,0.00,1.41,1.41,1.41
beautifulsoup,mobile-legends.en.aptoide.com,1,1,100.00,0.00,1.62,0.00,1.62,1.62,0.00,1.62,1.62,1.62
beautifulsoup,pubg-mobile-lite-tencent-games.en.aptoide.com,1,1,100.00,0.00,1.53,0.00,1.53,1.53,0.00,1.53,1.53,1.53
beautifulsoup,pubg-mobile-tencent-games.en.aptoide.com,1,1,100.00,0.00,1.53,0.00,1.53,1.53,0.00,1.53,1.53,1.53
beautifulsoup,pubg-new-state.en.aptoide.com,1,1,100.00,0.00,1.47,0.00,1.47,1.47,0.00,1.47,1.47,1.47
beautifulsoup,ra.co,10,0,0.00,0.00,0.09,0.01,0.17,NA,NA,NA,0.10,NA
beautifulsoup,uk.trip.com,10,10,100.00,0.00,0.56,0.12,0.75,0.56,0.12,0.75,0.59,0.59
beautifulsoup,vi.hotels.com,10,0,0.00,0.00,0.14,0.04,0.31,NA,NA,NA,0.17,NA
beautifulsoup,www.24s.com,10,10,100.00,0.00,0.76,0.29,1.40,0.76,0.29,1.40,0.88,0.88
beautifulsoup,www.agoda.com,10,10,100.00,0.00,0.11,0.01,0.14,0.11,0.01,0.14,0.12,0.12
beautifulsoup,www.appbrain.com,10,10,100.00,0.00,0.31,0.07,0.41,0.31,0.07,0.41,0.32,0.32
beautifulsoup,www.bandsintown.com,10,10,100.00,0.00,1.39,1.05,6.24,1.39,1.05,6.24,2.22,2.22
beautifulsoup,www.booking.com,10,0,0.00,0.00,0.58,0.01,0.62,NA,NA,NA,0.59,NA
beautifulsoup,www.cheapoair.com,10,0,0.00,0.00,0.10,0.02,0.23,NA,NA,NA,0.12,NA
beautifulsoup,www.farecompare.com,10,0,0.00,0.00,0.17,0.01,0.43,NA,NA,NA,0.21,NA
beautifulsoup,www.farfetch.com,10,0,0.00,0.00,0.06,0.04,0.09,NA,NA,NA,0.06,NA
beautifulsoup,www.flannels.com,10,10,100.00,0.00,9.72,1.04,10.42,9.72,1.04,10.42,9.74,9.74
beautifulsoup,www.getyourguide.com,10,0,0.00,0.00,0.08,0.00,0.18,NA,NA,NA,0.09,NA
beautifulsoup,www.gotogate.com,10,0,0.00,10.00,0.09,0.02,11.08,NA,NA,NA,2.09,NA
beautifulsoup,www.kayak.com,10,10,100.00,0.00,0.75,0.08,0.90,0.75,0.08,0.90,0.75,0.75
beautifulsoup,www.klook.com,10,0,0.00,0.00,0.11,0.00,0.17,NA,NA,NA,0.12,NA
beautifulsoup,www.propertyguru.com.sg,10,0,0.00,10.00,0.48,0.30,11.71,NA,NA,NA,2.44,NA
beautifulsoup,www.realestate.com.au,10,0,0.00,0.00,0.12,0.07,0.47,NA,NA,NA,0.20,NA
beautifulsoup,www.realtor.com,10,0,0.00,0.00,0.28,0.01,0.59,NA,NA,NA,0.34,NA
beautifulsoup,www.rightmove.co.uk,10,6,60.00,0.00,0.63,0.26,1.90,0.63,0.07,0.86,0.90,0.68
beautifulsoup,www.songkick.com,10,10,100.00,0.00,0.05,0.01,0.13,0.05,0.01,0.13,0.06,0.06
beautifulsoup,www.stubhub.com,10,10,100.00,0.00,0.70,0.79,1.78,0.70,0.79,1.78,1.01,1.01
beautifulsoup,www.ticketmaster.com,9,0,0.00,0.00,0.27,0.03,0.32,NA,NA,NA,0.27,NA
beautifulsoup,www.ticketmaster.com.mx,1,0,0.00,0.00,0.39,0.00,0.39,NA,NA,NA,0.39,NA
beautifulsoup,www.tourradar.com,10,10,100.00,0.00,0.41,0.07,0.62,0.41,0.07,0.62,0.42,0.42
beautifulsoup,www.traveloka.com,10,10,100.00,0.00,1.01,0.32,12.63,1.01,0.32,12.63,3.12,3.12
beautifulsoup,www.tripadvisor.com,10,0,0.00,0.00,0.27,0.03,0.30,NA,NA,NA,0.27,NA
beautifulsoup,www.viator.com,10,0,0.00,0.00,0.03,0.01,0.10,NA,NA,NA,0.04,NA
beautifulsoup,www.vn.kayak.com,10,10,100.00,0.00,1.84,0.36,2.89,1.84,0.36,2.89,1.99,1.99
beautifulsoup,www.zara.com,10,10,100.00,0.00,0.58,0.21,1.61,0.58,0.21,1.61,0.77,0.77
beautifulsoup,www.zillow.com,10,0,0.00,0.00,0.23,0.07,0.29,NA,NA,NA,0.23,NA
beautifulsoup,www2.hm.com,10,0,0.00,100.00,20.06,0.02,20.10,NA,NA,NA,20.06,NA
htmldownloader,apkpure.com,10,10,100.00,0.00,6.02,0.01,6.76,6.02,0.01,6.76,6.15,6.15
htmldownloader,appagg.com,10,10,100.00,0.00,6.08,0.03,6.11,6.08,0.03,6.11,6.08,6.08
htmldownloader,battlegrounds-india.en.aptoide.com,1,1,100.00,0.00,6.10,0.00,6.10,6.10,0.00,6.10,6.10,6.10
htmldownloader,creative-destruction.en.aptoide.com,1,1,100.00,0.00,6.15,0.00,6.15,6.15,0.00,6.15,6.15,6.15
htmldownloader,download.cnet.com,10,10,100.00,0.00,6.09,0.02,14.34,6.09,0.02,14.34,7.58,7.58
htmldownloader,free-fire-max.en.aptoide.com,1,1,100.00,0.00,6.15,0.00,6.15,6.15,0.00,6.15,6.15,6.15
htmldownloader,freefire-111dots-studio.en.aptoide.com,1,1,100.00,0.00,6.10,0.00,6.10,6.10,0.00,6.10,6.10,6.10
htmldownloader,last-day-alive.en.aptoide.com,1,1,100.00,0.00,6.37,0.00,6.37,6.37,0.00,6.37,6.37,6.37
htmldownloader,last-day-on-earth.en.aptoide.com,1,1,100.00,0.00,6.37,0.00,6.37,6.37,0.00,6.37,6.37,6.37
htmldownloader,mobile-legends.en.aptoide.com,1,1,100.00,0.00,6.35,0.00,6.35,6.35,0.00,6.35,6.35,6.35
htmldownloader,pubg-mobile-lite-tencent-games.en.aptoide.com,1,1,100.00,0.00,6.12,0.00,6.12,6.12,0.00,6.12,6.12,6.12
htmldownloader,pubg-mobile-tencent-games.en.aptoide.com,1,1,100.00,0.00,6.21,0.00,6.21,6.21,0.00,6.21,6.21,6.21
htmldownloader,pubg-new-state.en.aptoide.com,1,1,100.00,0.00,6.16,0.00,6.16,6.16,0.00,6.16,6.16,6.16
htmldownloader,ra.co,10,10,100.00,0.00,6.02,0.01,6.03,6.02,0.01,6.03,6.02,6.02
htmldownloader,uk.trip.com,10,10,100.00,0.00,6.18,0.01,6.19,6.18,0.01,6.19,6.17,6.17
htmldownloader,vi.hotels.com,10,10,100.00,0.00,6.15,0.14,6.60,6.15,0.14,6.60,6.24,6.24
htmldownloader,www.24s.com,10,10,100.00,0.00,6.12,0.03,17.26,6.12,0.03,17.26,8.26,8.26
htmldownloader,www.agoda.com,10,2,20.00,0.00,6.03,0.01,6.33,6.33,0.03,6.35,6.09,6.33
htmldownloader,www.appbrain.com,10,10,100.00,0.00,6.08,0.02,6.12,6.08,0.02,6.12,6.09,6.09
htmldownloader,www.bandsintown.com,10,10,100.00,0.00,6.18,0.89,7.38,6.18,0.89,7.38,6.56,6.56
htmldownloader,www.booking.com,10,10,100.00,0.00,6.24,0.01,6.25,6.24,0.01,6.25,6.23,6.23
htmldownloader,www.cheapoair.com,10,10,100.00,0.00,6.02,0.01,6.13,6.02,0.01,6.13,6.04,6.04
htmldownloader,www.farecompare.com,10,10,100.00,0.00,6.04,0.02,6.06,6.04,0.02,6.06,6.05,6.05
htmldownloader,www.farfetch.com,10,10,100.00,0.00,6.07,0.01,6.08,6.07,0.01,6.08,6.07,6.07
htmldownloader,www.flannels.com,10,10,100.00,0.00,6.22,0.03,6.24,6.22,0.03,6.24,6.22,6.22
htmldownloader,www.getyourguide.com,10,10,100.00,0.00,6.11,0.01,6.12,6.11,0.01,6.12,6.11,6.11
htmldownloader,www.gotogate.com,10,10,100.00,0.00,6.02,0.00,6.03,6.02,0.00,6.03,6.02,6.02
htmldownloader,www.kayak.com,10,10,100.00,0.00,6.18,0.02,6.22,6.18,0.02,6.22,6.18,6.18
htmldownloader,www.klook.com,10,10,100.00,0.00,6.02,0.01,6.04,6.02,0.01,6.04,6.02,6.02
htmldownloader,www.propertyguru.com.sg,10,10,100.00,0.00,6.21,0.02,6.23,6.21,0.02,6.23,6.22,6.22
htmldownloader,www.realestate.com.au,10,10,100.00,0.00,6.02,0.01,6.03,6.02,0.01,6.03,6.02,6.02
htmldownloader,www.realtor.com,10,10,100.00,0.00,6.04,0.01,6.04,6.04,0.01,6.04,6.04,6.04
htmldownloader,www.rightmove.co.uk,10,10,100.00,0.00,6.11,0.02,6.14,6.11,0.02,6.14,6.11,6.11
htmldownloader,www.songkick.com,10,9,90.00,0.00,6.11,0.29,14.60,6.13,0.32,15.33,7.70,7.88
htmldownloader,www.stubhub.com,10,10,100.00,0.00,6.08,0.03,6.12,6.08,0.03,6.12,6.09,6.09
htmldownloader,www.ticketmaster.com,8,7,87.50,0.00,7.10,0.15,7.39,7.07,0.18,7.40,7.07,7.06
htmldownloader,www.ticketmaster.com.mx,1,1,100.00,0.00,7.06,0.00,7.06,7.06,0.00,7.06,7.06,7.06
htmldownloader,www.tourradar.com,10,10,100.00,0.00,6.09,0.02,6.12,6.09,0.02,6.12,6.09,6.09
htmldownloader,www.traveloka.com,10,10,100.00,0.00,6.11,0.07,6.22,6.11,0.07,6.22,6.12,6.12
htmldownloader,www.tripadvisor.com,10,10,100.00,0.00,6.16,0.02,6.18,6.16,0.02,6.18,6.16,6.16
htmldownloader,www.viator.com,10,10,100.00,0.00,6.45,0.04,12.00,6.45,0.04,12.00,7.45,7.45
htmldownloader,www.vn.kayak.com,10,10,100.00,0.00,6.29,0.08,6.35,6.29,0.08,6.35,6.27,6.27
htmldownloader,www.zara.com,10,10,100.00,0.00,6.45,3.28,21.46,6.45,3.28,21.46,9.88,9.88
htmldownloader,www.zillow.com,10,10,100.00,0.00,6.19,0.06,6.54,6.19,0.06,6.54,6.24,6.24
htmldownloader,www2.hm.com,10,10,100.00,0.00,6.16,0.03,6.23,6.16,0.03,6.23,6.17,6.17
scrapy,,1,0,0.00,100.00,0.09,0.00,0.09,NA,NA,NA,0.09,NA
scrapy,apkpure.com,10,10,100.00,0.00,1.62,0.60,13.95,1.62,0.60,13.95,3.88,3.88
scrapy,appagg.com,10,10,100.00,0.00,42.22,0.06,42.40,42.22,0.06,42.40,38.05,38.05
